# transcript_source: asr:faster-whisper:base
# normalize_warning: 未安装 opencc-python-reimplemented，未执行繁简转换。
[00:00-00:01] 哪一头啊 朋友们
[00:01-00:02] 会用AZ呢
[02:21-02:23] 甚至还帮我们上了颜色
[02:23-02:24] 非常的清晰
[02:24-02:25] 那接下来呢
[02:25-02:26] 我还想过一个PPT
[02:26-02:28] 就让他基于这张表格
[02:28-02:30] 把挑出来的这几所允许校
[02:30-02:33] 做成一份志愿填报件的PPT
[02:33-02:35] 方便我发到家族群里面去讨论
[02:35-02:36] OK
[02:36-02:38] 他就自己读取了我们的表格
[02:38-02:40] 又新建了一个PPT
[02:40-02:42] 我们在上文文件家中
[02:42-02:44] 就可以直接看到他新建的PPT
[02:44-02:45] 我们直接打开
[02:45-02:46] OK
[02:46-02:48] 他也是可编辑的PPT形式
[02:48-02:52] 而且也按照要求把可视化图表做好了
[02:52-02:55] 那Kimi做PPT的能力还是不错的
[02:55-02:58] 那这就是最基础的本地文件操作
[02:58-03:00] 同时这个桌面端AZN
[03:00-03:01] 也可以操作你的秘密卡
[03:01-03:03] 帮你下载软件
[03:03-03:04] 执行脚本
[03:04-03:05] 包括那些压缩图片
[03:05-03:06] 压缩视频
[03:06-03:08] 转换文件格式
[03:08-03:11] 这些东西我现在也是让AZN来做了
[03:11-03:12] 不过很多时候
[03:12-03:14] 观看我们自己的本地资料还不够
[03:14-03:16] 还得上网查信息
[03:16-03:19] 那这就可以用到他的第2大能力
[03:19-03:21] 流暖器操控
[03:21-03:23] 我们在这找到Wave Bridge
[03:23-03:25] 然后根据他的指引
[03:25-03:27] 安装好这个流暖器插件之后
[03:27-03:30] 他就能操控我们的流暖器了
[03:30-03:33] 而且用的是我们自己带登录状态的流暖器
[03:33-03:36] 所以像需要登录的社交媒体
[03:36-03:38] 不开放API的那些网站评论
[03:38-03:40] 他都可以拿到
[03:40-03:42] 那比如刚才我们那一批学校山选出来了
[03:42-03:44] 我还想知道他们的网牌专业
[03:44-03:45] 保研究业
[03:45-03:47] 素社口碑都怎么样
[03:47-03:50] 那这些信息都得要去看我网上真实的评论
[03:50-03:52] 那我们就可以让Kimioke
[03:52-03:53] 自己去查社交媒体
[03:53-03:56] 再把信息更新到我们的PK里面
[03:56-03:59] OK他就自己打开了流暖器
[03:59-04:00] 这搜索
[04:00-04:02] 点击全部都是他自己在干
[04:02-04:05] 那这个期间我们就算拿流暖器去干别的
[04:05-04:06] 也不影响他
[04:06-04:09] OK最后PK的效果
[04:09-04:10] 这就很全面了
[04:10-04:12] 而且除了查信息
[04:12-04:14] Wave Bridge也能替我们去操作一些
[04:14-04:16] 反所的网业操作
[04:16-04:17] 比如说一口气
[04:17-04:19] 帮你关注100个博主等等
[04:20-04:24] OK本地文件加流暖器操控
[04:24-04:27] 这就是桌面AZN的最基本的工具组合
[04:27-04:29] 不过当我们的资料一多
[04:29-04:31] 要塑了内容一多
[04:31-04:32] 活得体量一大
[04:32-04:35] 单个AZN的干起来就有点非利了
[04:35-04:37] 那这时候我们可以上极取
[04:37-04:40] 让多个AZN的分头去干
[04:40-04:42] AZN的极取是Kimi的一个特色
[04:42-04:46] 它最多能一次拉起300个AZN的一起干活
[04:46-04:48] 比如说坐电商的朋友
[04:48-04:49] 618大促结束了
[04:49-04:50] 我们要复盘
[04:50-04:52] 手里的文件夹有订单
[04:52-04:56] 有头放、退款、客服、物流、台物数据
[04:56-04:59] 甚至还有一堆会议机药和老板的反馈
[04:59-05:01] 那一个AZN都读过完这些文件
[05:01-05:05] 我们就可以打开电商复盘项目
[05:05-05:07] 选择AZN的积雄
[05:07-05:09] 让它来给你做一次全面复盘
[05:09-05:11] 最终给出报告
[05:11-05:11] OK
[05:11-05:14] 它就会自动把我们拆成非常多个
[05:14-05:18] 不同专场的AZN的分头的去看这些文件
[05:18-05:20] 那最后帮我们整合出的结果
[05:20-05:22] 你看一份数据复盘报告
[05:22-05:25] 一份会报老板的PVT
[05:25-05:28] 还有老板可能要追问的QA一口气
[05:28-05:30] 都帮我们非常详细的做出来的
[05:30-05:34] 从总结摘药整体达成的情况
[05:34-05:37] 到头流的分析、退款原因的分析
[05:37-05:40] 等等这个报告里面都整理得很详细
[05:40-05:41] PVT也是做的
[05:41-05:42] 图文并冒的
[05:42-05:45] 关键的数据都把我们做成了图表
[05:45-05:47] 那这一套我们合对修改一下
[05:47-05:49] 基本上就能拿去汇报了
[05:49-05:52] 所以AZN的集群特别适合那些数据多
[05:52-05:54] 调查身、要产出的东西
[05:54-05:56] 也特别多的场景
[05:56-05:58] 比如这是我让它整理的苹果
[05:58-06:00] 所有年份的产品策略
[06:00-06:01] 它全都查出来了
[06:01-06:04] 还帮我提练了苹果整体的策略逻辑
[06:04-06:06] 又从多个违度给我展开
[06:06-06:09] 还拆成了几个战略阶段
[06:09-06:10] 自动调言太方便了
[06:10-06:13] 还有这个整套公司的弱电方案
[06:13-06:14] 你瞧瞧
[06:14-06:16] 这些图可都是它自己做的
[06:16-06:18] 因为我只发了它这样的平面图
[06:18-06:21] 而且整个的考虑也非常想尽
[06:21-06:24] 不过目前AZN的集群功能
[06:24-06:27] 需要99一个月以上的会员才可以用
[06:27-06:29] 那除了在横向上
[06:29-06:30] 拓展AZN的数量
[06:30-06:32] 我们其实也可以纵向的
[06:32-06:36] 让AZN的长时间深度地自己干活
[06:36-06:38] 也就是这次重棒的新能力
[06:38-06:40] 够模式
[06:40-06:43] 那在普通的模式下AZN基本上
[06:43-06:45] 几分钟会完成一个小步种
[06:45-06:47] 顶多干个几十分钟
[06:47-06:49] 就等着我们人类给他反馈
[06:49-06:50] 帮他纠错
[06:50-06:52] 那每一步都是要等着我们去推动的
[06:52-06:54] 但是够模式不太一样
[06:54-06:56] 是我们给他一个明确的任务
[06:56-06:57] 终点
[06:57-06:59] 我们就可以不管的话
[06:59-07:01] 他自己持续地去花几个小时
[07:01-07:02] 甚至十几个小时
[07:02-07:04] 把整个事情走到底
[07:04-07:06] 什么做计划动手做
[07:06-07:08] 检查结果在反攻
[07:08-07:10] 再重来一轮一轮的
[07:10-07:12] 他会自己对照着目标
[07:12-07:14] 和验收标准循环下去
[07:14-07:15] 直到做完回纸
[07:15-07:17] 那比如说我们就可以
[07:17-07:18] 在做一个大项目之前
[07:18-07:20] 跟他讨论清楚
[07:20-07:21] 形成这样一份
[07:21-07:24] 详细的需求文导和验证的标准
[07:24-07:25] 给他放到项目里面
[07:25-07:28] 然后我们开启这个够模式
[07:28-07:32] 让他对照着PRD去一条一条的做完
[07:32-07:33] 并且一条一条的简念
[07:33-07:36] 那中途我们去睡个觉休息一下
[07:36-07:38] 回来就可以看结果了
[07:38-07:40] 我们来一一对照一下
[07:40-07:40] 你看
[07:40-07:43] 这个标题时间中
[07:43-07:44] 效果都很不错
[07:44-07:46] 这个前后对比的组件
[07:46-07:48] 也都是可以直接拖拽的
[07:48-07:50] 那这个联系我的
[07:50-07:52] 这个链接也是可以自定义的
[07:52-07:54] 那左边还有这么多组件
[07:54-07:57] 我们都可以自己选择添加
[07:57-07:59] 整体的完成度还是可以的
[07:59-08:00] 说白了
[08:00-08:02] 购模式就是把整个项目的目标
[08:02-08:04] 和验收标准都交给他
[08:04-08:06] 让他一直负责到底
[08:06-08:08] 最后我们验收结果
[08:08-08:11] 非常适合我们顺钱给他下一个购
[08:11-08:12] 然后早上起来验收
[08:12-08:14] 只不过额度消耗的会很快
[08:15-08:18] 当然除了通用的这两个工具
[08:18-08:21] 和纵衡两种压伤方式以外
[08:21-08:23] 我们也可以再给AZN的配上一些
[08:23-08:25] 特定的强大工具
[08:25-08:26] 插件
[08:27-08:28] 那KIMIWALK就提供了一些
[08:28-08:31] 特定的软件的插件可揭露
[08:31-08:32] 比如说飞书
[08:32-08:32] 丁丁
[08:32-08:33] 看法
[08:33-08:34] WPS
[08:34-08:35] 尤其是这些
[08:35-08:37] 我们日常在用的工具
[08:37-08:38] 安装非常简单
[08:38-08:39] 我们点一下就行
[08:39-08:41] 那我连上了这个飞书插件之后
[08:41-08:45] 我们就可以直接让他把刚才那份
[08:45-08:46] 618的四盘
[08:46-08:47] 帮我整理成一个
[08:47-08:50] 带强性数据看满了
[08:50-08:51] 飞书多于表格
[08:51-08:53] 而且让他直接发给老板
[08:53-08:54] 你看
[08:54-08:55] 直接就发出去了
[08:55-08:58] 他帮我们拆成了十几个表和试图
[08:58-08:59] 这都是可以手动编辑的
[08:59-09:01] 那最后的这个
[09:01-09:03] 给老板看的一表盘也很漂亮
[09:03-09:05] 那原来这些东西
[09:05-09:06] 我们自己要动手做的话
[09:06-09:08] 真的会很费时间
[09:08-09:08] 对了
[09:08-09:10] 因为我们还装了可画插件
[09:11-09:13] 那我们也可以让他一句话
[09:13-09:15] 让他把项目的复盘数据
[09:15-09:17] 做成一张战暴海报
[09:17-09:18] 等等
[09:18-09:19] 这就做好了
[09:19-09:21] 而且我们点开这个链接
[09:21-09:23] 它整个图都是在看哪里的
[09:23-09:25] 我们随时可以在那继续修改
[09:25-09:27] 另外它的插件里面
[09:27-09:28] 还有新出的这个
[09:28-09:29] computer use
[09:29-09:31] 那它比流暖器操控更同用
[09:31-09:33] 可以直接在我们的电脑桌面上
[09:33-09:35] 去做一些信用节操作
[09:35-09:36] 去操控其他的软件
[09:36-09:38] 那第六大能力
[09:38-09:39] 也就是A任的理念
[09:39-09:40] 非常实用
[09:40-09:42] 大家可能也比较熟悉的
[09:42-09:43] Skill技能了
[09:45-09:46] 那我们点插件
[09:46-09:48] 左上角就是技能了
[09:48-09:49] 我们可以点这个
[09:49-09:51] 就会打开技能文件夹
[09:51-09:53] 可以上传我们常用的一些
[09:53-09:54] 本地的Skill
[09:54-09:56] 当然KIMIWOK官方也自带了
[09:56-09:57] 不少好用的Skill
[09:57-09:58] 推荐技能
[09:58-10:00] 这两个就挺好用的
[10:00-10:01] 归脏PPT这个Skill
[10:01-10:04] 可以把你的PPT样式做得更漂亮
[10:04-10:06] Apple Reset这个能帮你
[10:06-10:08] 输出机构极的头颜报告
[10:08-10:11] 那我们直接把这两个技能都安装上
[10:11-10:13] 先试试这个PPT优化
[10:13-10:14] 我们直接点击使用
[10:14-10:16] 让它优化一下刚才那份
[10:16-10:17] 支援田报PPT
[10:17-10:18] 你看
[10:18-10:20] 看立马就从一个普通的PPT
[10:20-10:22] 变成了风格强烈
[10:22-10:24] 台版精致的样子
[10:24-10:26] 那Apple Reset做出来的颜报
[10:26-10:27] 是这样的
[10:27-10:29] 质量也非常高
[10:29-10:31] 那如果说技能
[10:31-10:32] 解决的是A任的
[10:32-10:34] 在特定任务上做的好不好
[10:34-10:37] 那接下来的A任CMD文件
[10:37-10:39] 就是管好A任的
[10:39-10:41] 在整个项目中的行为
[10:42-10:44] A任CMD原本是一份
[10:44-10:45] 马克弹文导
[10:45-10:46] 其中的内容
[10:46-10:49] 会在A任的做任何事之前
[10:49-10:50] 被优先的
[10:50-10:51] 注入到停止词里面
[10:51-10:53] 相当于一个系统提示词
[10:53-10:54] 这个文件
[10:54-10:56] 我们可以自己在项目文件家里面
[10:56-10:57] 去手动键
[10:57-10:59] 也可以让KimiWalk来帮我一键
[10:59-11:02] 那具体里面的内容怎么设计
[11:02-11:04] 这个思路就比较灵活和复达了
[11:04-11:07] 我们甚至可以靠A任CMD的机制
[11:07-11:09] 搭建出一整套
[11:09-11:11] 有长期记忆的系统
[11:11-11:12] 感兴趣的朋友可以刻刻一
[11:12-11:14] 有机会我在出个视频
[11:14-11:17] 那我这里先给大家一个小的系统模板
[11:17-11:20] 他会让你的A任在复杂的任务下
[11:20-11:23] 先帮你输出一个PR例来跟你确认
[11:23-11:25] 以及他不盲目的肯定你
[11:25-11:29] 并且他会随时的记录你们的角色和记忆
[11:29-11:32] 还会有序的帮你去组织项目的文件
[11:32-11:34] 这个评论区件了
[11:34-11:34] OK
[11:34-11:37] 那当你把A任的用到了这一步
[11:37-11:40] 他已经是一个工具齐全
[11:40-11:42] 半世有规矩的程度了
[11:42-11:45] 所以也许你会希望他更省心一点
[11:45-11:47] 到点自动开工
[11:47-11:49] 定时任务
[11:49-11:52] 我们可以直接在他的定时任务里面点心键
[11:52-11:56] 然后输入我们的任务和需求就可以了
[11:56-11:58] 比如说让他每天早上8点
[11:58-12:00] 去读我的飞书日曆
[12:00-12:04] 然后生成今天的日程看板
[12:04-12:07] 或者让他每天帮我查国庆的机票价格
[12:07-12:09] 如果低于79有
[12:09-12:11] 就发飞书消息提醒我
[12:12-12:13] OK
[12:13-12:13] 到这里
[12:13-12:17] 桌面端A任的从入门到近接的这些能力
[12:17-12:18] 你都基本了解了
[12:18-12:19] 那当然了
[12:19-12:21] KIMIWOKA还是背他板
[12:21-12:22] 还做不到甩一踏
[12:22-12:24] 他就百分百交付
[12:24-12:25] 这个得有点运气
[12:25-12:27] 那最后我们简单的回顾一下
[12:27-12:31] 桌面端A任的逐步增强了八大能力
[12:31-12:32] 第一操作命令行
[12:32-12:33] 读写本地文件
[12:33-12:35] 第二操控流暖器
[12:35-12:37] 甚至操控电脑
[12:37-12:37] 那第三
[12:37-12:41] 拆成多个A任的集群干活
[12:41-12:42] 第四给他一个目标
[12:42-12:44] 让他自己干到底
[12:44-12:45] 第五
[12:45-12:47] 接入特定的插件
[12:47-12:47] 第六
[12:47-12:49] 使用专门的技能
[12:49-12:50] 第七
[12:50-12:52] 用A任的MD
[12:52-12:53] 立规矩
[12:53-12:54] 甚至搭系统
[12:54-12:54] 第八
[12:54-12:56] 定时任务
[12:56-12:56] 好了
[12:56-13:00] 希望大家从现在开始习惯把桌面端A任的
[13:00-13:02] 当成我们工作里最重要的伙伴
[13:02-13:04] 等大家在熟悉了
[13:04-13:05] 我们一起来看松
[13:05-13:06] 更多有一次的玩法
[13:06-13:08] 记得点赞收藏关注
[13:08-13:10] 我们下次见了
